initial_FN,initial_FP,initial_average precision,initial_f1,initial_precision,initial_recall,initial_roc auc,label,learner,query time (s),sample_100_FN,sample_100_FP,sample_100_average precision,sample_100_f1,sample_100_precision,sample_100_recall,sample_100_roc auc,sample_10_FN,sample_10_FP,sample_10_average precision,sample_10_f1,sample_10_precision,sample_10_recall,sample_10_roc auc,sample_1_FN,sample_1_FP,sample_1_average precision,sample_1_f1,sample_1_precision,sample_1_recall,sample_1_roc auc,sample_25_FN,sample_25_FP,sample_25_average precision,sample_25_f1,sample_25_precision,sample_25_recall,sample_25_roc auc,sample_50_FN,sample_50_FP,sample_50_average precision,sample_50_f1,sample_50_precision,sample_50_recall,sample_50_roc auc,sampling strategy,train time (s)
8,10,0.9318247910960035,0.9285714285714286,0.9212598425196851,0.936,0.9988634868421054,ipsweep.,LogisticRegression,0.0009360313415527344,8,13,0.8717225030570814,0.9176470588235294,0.9,0.936,0.9987746710526315,8,12,0.8744418460910913,0.921259842519685,0.9069767441860465,0.936,0.9987631578947367,8,11,0.8715344459052864,0.924901185770751,0.9140625,0.936,0.998796875,8,12,0.8690786238770397,0.921259842519685,0.9069767441860465,0.936,0.9987919407894738,8,11,0.8761257189521109,0.924901185770751,0.9140625,0.936,0.9987993421052632,random_sampling,0.028905868530273438
8,10,0.9318247910960035,0.9285714285714286,0.9212598425196851,0.936,0.9988634868421054,ipsweep.,LogisticRegression,0.0007801055908203125,0,0,1.0,1.0,1.0,1.0,1.0,3,0,0.9858638345089958,0.9878542510121457,1.0,0.976,0.9982606907894737,8,11,0.8759157063976823,0.924901185770751,0.9140625,0.936,0.9987911184210526,2,0,0.9931547344110855,0.9919354838709677,1.0,0.984,0.999390625,1,0,0.9968780487804879,0.9959839357429718,1.0,0.992,0.9999342105263156,entropy_sampling,0.03219008445739746
8,10,0.9318247910960035,0.9285714285714286,0.9212598425196851,0.936,0.9988634868421054,ipsweep.,LogisticRegression,0.0006830692291259766,0,0,1.0,1.0,1.0,1.0,1.0,3,0,0.9858638345089958,0.9878542510121457,1.0,0.976,0.9982606907894737,8,11,0.8759157063976823,0.924901185770751,0.9140625,0.936,0.9987911184210526,2,0,0.9931547344110855,0.9919354838709677,1.0,0.984,0.999390625,1,0,0.9968780487804879,0.9959839357429718,1.0,0.992,0.9999342105263156,uncertainty_sampling,0.025492191314697266
2,0,0.9903938684695789,0.9902912621359222,1.0,0.9807692307692307,0.9951700681616903,portsweep.,RandomForestClassifier,0.10825014114379883,9,0,0.9897466791204664,0.9547738693467337,1.0,0.9134615384615384,0.9951641376201923,2,0,0.9903938684695789,0.9902912621359222,1.0,0.9807692307692307,0.9951700681616903,2,0,0.9903938684695789,0.9902912621359222,1.0,0.9807692307692307,0.9951700681616903,9,0,0.9897466791204664,0.9547738693467337,1.0,0.9134615384615384,0.9951641376201923,9,0,0.9897466791204664,0.9547738693467337,1.0,0.9134615384615384,0.9951641376201923,random_sampling,0.10774016380310059
2,0,0.9903938684695789,0.9902912621359222,1.0,0.9807692307692307,0.9951700681616903,portsweep.,RandomForestClassifier,0.10551071166992188,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951784697621459,2,0,0.9904863240908807,0.9902912621359222,1.0,0.9807692307692307,0.9951720450088564,3,0,0.9902141905640302,0.9853658536585366,1.0,0.9711538461538461,0.9951666086791499,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951784697621459,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951725392206479,entropy_sampling,0.1107931137084961
2,0,0.9903938684695789,0.9902912621359222,1.0,0.9807692307692307,0.9951700681616903,portsweep.,RandomForestClassifier,0.1076509952545166,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951784697621459,2,0,0.9904863240908807,0.9902912621359222,1.0,0.9807692307692307,0.9951720450088564,3,0,0.9902141905640302,0.9853658536585366,1.0,0.9711538461538461,0.9951666086791499,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951784697621459,1,0,0.9904863240908807,0.9951690821256038,1.0,0.9903846153846154,0.9951725392206479,uncertainty_sampling,0.11080002784729004
104,0,0.07093174333670155,0.0,0.0,0.0,0.8967947400050608,portsweep.,LogisticRegression,0.0009720325469970703,104,0,0.42156320203666464,0.0,0.0,0.0,0.9543051777580972,97,0,0.2766773999363785,0.12612612612612611,1.0,0.0673076923076923,0.9811043063638665,104,0,0.06558171931447711,0.0,0.0,0.0,0.8807803011133603,93,3,0.5106999322858092,0.1864406779661017,0.7857142857142857,0.10576923076923077,0.9463612174215587,104,0,0.38063306523219287,0.0,0.0,0.0,0.9534175733805668,random_sampling,0.02447986602783203
104,0,0.07093174333670155,0.0,0.0,0.0,0.8967947400050608,portsweep.,LogisticRegression,0.0010476112365722656,14,101,0.9005712647173105,0.6101694915254238,0.4712041884816754,0.8653846153846154,0.997089092548077,93,1,0.4809694505583495,0.1896551724137931,0.9166666666666666,0.10576923076923077,0.9438842279225709,97,0,0.5287342804550049,0.12612612612612611,1.0,0.0673076923076923,0.9939854424974695,93,1,0.4643822713364192,0.1896551724137931,0.9166666666666666,0.10576923076923077,0.9637021207616397,104,0,0.11392347698863961,0.0,0.0,0.0,0.9054355389676112,entropy_sampling,0.024552106857299805
104,0,0.07093174333670155,0.0,0.0,0.0,0.8967947400050608,portsweep.,LogisticRegression,0.0010750293731689453,14,101,0.9005712647173105,0.6101694915254238,0.4712041884816754,0.8653846153846154,0.997089092548077,93,1,0.4809694505583495,0.1896551724137931,0.9166666666666666,0.10576923076923077,0.9438842279225709,97,0,0.5287342804550049,0.12612612612612611,1.0,0.0673076923076923,0.9939854424974695,93,1,0.4643822713364192,0.1896551724137931,0.9166666666666666,0.10576923076923077,0.9637021207616397,104,0,0.11392347698863961,0.0,0.0,0.0,0.9054355389676112,uncertainty_sampling,0.01901984214782715
21,2,0.941509562358529,0.8756756756756757,0.9759036144578314,0.7941176470588235,0.9848693280766254,warezclient.,RandomForestClassifier,0.1062018871307373,16,2,0.9393571105906807,0.9052631578947369,0.9772727272727273,0.8431372549019608,0.9797965444401446,21,2,0.9509277695892706,0.8756756756756757,0.9759036144578314,0.7941176470588235,0.9946490623387513,21,2,0.9509277695892706,0.8756756756756757,0.9759036144578314,0.7941176470588235,0.9946490623387513,29,2,0.9180231154438244,0.824858757062147,0.9733333333333334,0.7156862745098039,0.9745887150090299,26,1,0.9165115113380156,0.8491620111731845,0.987012987012987,0.7450980392156863,0.9746073593911249,random_sampling,0.10935783386230469
